powder,media,plating,test,mean_count,mean_spread_percent,mean_count_wNA,SPR,SPRs,temp_media,mean_count2,log_mean_count,log_mean_count_wNA,mean_spread_percent_wNA,SPRs_wNA,SPR_wNA
E,PCMA,SpreadwOverlay,HHR.TSC,280,0,280,no,none,SpreadwOverlay,280,2.447158031,2.447158031,0,none,no
E,PCMA,SpreadwOverlay,SP.MSC,440,0,440,no,none,SpreadwOverlay,440,2.643452676,2.643452676,0,none,no
E,PCMA,SpreadwOverlay,SP.TSC,40,97.5,40,yes,yes,SpreadwOverlay,40,1.602059991,1.602059991,97.5,yes,yes
E,PCMA,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
E,SMA,Pour,HHR.TSC,650,0,650,no,none,Pour,650,2.812913357,2.812913357,0,none,no
E,SMA,Pour,SP.MSC,390,0,390,no,none,Pour,390,2.591064607,2.591064607,0,none,no
E,SMA,Pour,SP.TSC,2110,70,2110,yes,yes,Pour,2110,3.324282455,3.324282455,70,yes,yes
E,SMA,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
E,SMA,Spread,HHR.TSC,220,0,220,no,none,Spread,220,2.342422681,2.342422681,0,none,no
E,SMA,Spread,SP.MSC,340,45,340,yes,yes,Spread,340,2.531478917,2.531478917,45,yes,yes
E,SMA,Spread,SP.TSC,4120,45,4120,yes,yes,Spread,4120,3.614897216,3.614897216,45,yes,yes
E,SMA,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
E,SMA,SpreadwOverlay,HHR.TSC,260,0,260,no,none,SpreadwOverlay,260,2.414973348,2.414973348,0,none,no
E,SMA,SpreadwOverlay,SP.MSC,500,0,500,no,none,SpreadwOverlay,500,2.698970004,2.698970004,0,none,no
E,SMA,SpreadwOverlay,SP.TSC,3700,45,3700,yes,yes,SpreadwOverlay,3700,3.568201724,3.568201724,45,yes,yes
E,SMA,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
E,TSAwS,Pour,HHR.TSC,530,0,530,no,none,Pour,530,2.72427587,2.72427587,0,none,no
E,TSAwS,Pour,SP.MSC,500,0,500,no,none,Pour,500,2.698970004,2.698970004,0,none,no
E,TSAwS,Pour,SP.TSC,8000,0,8000,no,none,Pour,8000,3.903089987,3.903089987,0,none,no
E,TSAwS,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
E,TSAwS,Spread,HHR.TSC,40,0,40,no,none,Spread,40,1.602059991,1.602059991,0,none,no
E,TSAwS,Spread,SP.MSC,160,45,160,yes,yes,Spread,160,2.204119983,2.204119983,45,yes,yes
E,TSAwS,Spread,SP.TSC,2000,0,2000,no,none,Spread,2000,3.301029996,3.301029996,0,none,no
E,TSAwS,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
E,TSAwS,SpreadwOverlay,HHR.TSC,140,0,140,no,none,SpreadwOverlay,140,2.146128036,2.146128036,0,none,no
